#{"t_start": 1639234051.06112, "env_id": null}
r,l,t
28.512887,60,2907.937394
71.181422,60,2909.94883
59.198734,60,2912.501812
31.232301,60,2914.526377
21.92572,60,2915.690248
55.257892,60,2918.292415
36.900629,60,2920.293646
43.532228,60,2922.862849
23.625878,60,2924.87202
82.201703,60,2927.467111
19.864599,60,2929.529651
48.375783,60,2932.084729
9.920528,60,2933.217393
54.690014,60,2935.782969
28.058286,60,2937.858099
75.341261,60,2940.401439
36.493701,60,2942.420096
22.423457,60,2944.969984
62.921702,60,2946.992884
61.140673,60,2949.563861
45.406068,60,2950.706772
-50.56081,60,2952.720487
23.369546,60,2955.288723
55.32555,60,2957.307501
41.87235,60,2959.934557
0.522951,60,2961.960389
11.331506,60,2964.519108
56.193016,60,2966.556022
55.663228,60,2968.269307
51.704417,60,2970.324831
57.599258,60,2972.881106
32.413578,60,2974.90828
29.069065,60,2977.499927
51.069889,60,2979.549255
17.453485,60,2982.114441
52.930491,60,2984.106045
76.176988,60,2985.235047
73.199336,60,2987.785667
54.039694,60,2989.827768
57.005605,60,2992.382705
61.782998,60,2994.375913
66.163948,60,2996.917083
45.449421,60,2998.919641
52.717626,60,3001.505618
49.260359,60,3002.632102
20.926366,60,3005.174181
-26.543456,60,3007.181089
88.259747,60,3009.741298
60.849114,60,3011.7935
73.203019,60,3014.349509
63.364917,60,3016.379495
65.029147,60,3018.946121
38.14896,60,3020.090061
75.631258,60,3022.268958
57.059128,60,3024.832109
60.890765,60,3026.863197
15.938509,60,3029.427325
46.568267,60,3031.461843
12.334648,60,3034.090781
61.00031,60,3036.125266
56.739915,60,3037.816286
37.799056,60,3039.837234
20.242171,60,3042.434903
40.141388,60,3044.470991
34.544074,60,3047.041185
44.97935,60,3049.082544
35.181386,60,3051.649417
73.215443,60,3053.699166
24.597218,60,3054.836345
40.691514,60,3057.41639
31.628535,60,3059.441745
69.76635,60,3062.012573
11.006155,60,3064.067374
72.009228,60,3066.656276
32.087845,60,3068.788896
27.879865,60,3071.443136
81.091838,60,3072.586594
57.008064,60,3075.215256
67.503038,60,3077.244707
12.632462,60,3079.883488
67.157265,60,3081.913414
16.259078,60,3084.492073
48.565454,60,3086.541971
44.54727,60,3089.10614
72.232177,60,3090.251596
70.075866,60,3092.278851
57.32314,60,3094.860843
12.607962,60,3096.944278
65.44091,60,3099.495116
56.650717,60,3101.524737
46.028233,60,3104.091967
39.795274,60,3106.141887
26.60643,60,3107.828428
38.062319,60,3109.858383
62.305617,60,3112.56162
33.134678,60,3114.588646
39.389596,60,3117.225241
36.254126,60,3119.248257
30.111185,60,3121.868493
83.127665,60,3123.901159
47.202523,60,3125.053586
-1.928972,60,3127.696572
60.687105,60,3129.730098
27.739002,60,3132.319053
63.85457,60,3134.34714
45.289198,60,3136.923344
56.416586,60,3138.986571
19.381492,60,3141.563644
31.511075,60,3142.706758
29.053703,60,3145.279431
65.121505,60,3147.319451
37.253155,60,3149.926062
33.533862,60,3151.957458
68.726251,60,3154.530754
24.747308,60,3156.579146
17.733748,60,3159.22756
83.164223,60,3160.371697
28.228341,60,3162.403216
50.075854,60,3164.973101
33.925215,60,3167.005678
60.656799,60,3169.605918
25.974818,60,3171.648587
32.184369,60,3174.220663
28.60258,60,3176.244881
-14.521087,60,3177.935679
0.503097,60,3179.994198
27.205019,60,3182.578831
39.549577,60,3184.61634
44.050165,60,3187.198191
47.315948,60,3189.225684
47.082023,60,3191.887084
-2.844491,60,3193.942761
40.289953,60,3195.101221
61.49461,60,3197.673816
35.442965,60,3199.695474
46.322903,60,3202.3522
27.825287,60,3204.394485
80.518102,60,3206.97437
62.639378,60,3209.004239
66.471818,60,3211.600408
31.998403,60,3212.742612
40.957335,60,3215.322068
28.078162,60,3217.36662
44.570284,60,3219.932831
38.329083,60,3222.004781
66.60944,60,3224.582831
30.641521,60,3226.611669
71.836531,60,3229.180503
35.929408,60,3230.320896
43.699109,60,3232.403355
27.19188,60,3234.965175
67.936825,60,3236.991898
56.118868,60,3239.554686
40.282717,60,3241.584865
61.053657,60,3244.189424
74.589627,60,3246.215407
31.170122,60,3247.916514
10.534515,60,3249.946242
18.484338,60,3252.539652
31.919152,60,3254.742492
39.341693,60,3257.308383
74.168048,60,3259.3602
67.383023,60,3261.936367
54.238951,60,3264.000177
24.296054,60,3265.151545
87.432037,60,3267.723907
28.278064,60,3269.744792
68.275719,60,3272.30318
73.106926,60,3274.327179
22.67188,60,3276.960736
20.392075,60,3278.975516
33.07943,60,3281.546493
41.480882,60,3282.691525
51.839577,60,3285.290438
65.578593,60,3287.329536
41.073597,60,3289.900462
33.705574,60,3291.933838
75.553433,60,3294.494399
43.697176,60,3296.566504
26.984682,60,3299.130818
21.826005,60,3300.273593
-14.281413,60,3302.301336
47.523189,60,3304.853121
33.545667,60,3306.927668
35.986469,60,3309.522395
53.949627,60,3311.552123
9.71981,60,3314.135741
41.739224,60,3316.164277
49.386073,60,3317.937584
42.82098,60,3319.96997
76.427612,60,3322.549481
51.45486,60,3324.572186
40.953514,60,3327.168685
77.278878,60,3329.222286
24.096345,60,3331.794072
45.179033,60,3333.821474
44.219248,60,3334.976919
42.89961,60,3337.578648
71.995016,60,3339.634875
60.08456,60,3342.217603
50.458252,60,3344.527755
24.865229,60,3347.383752
88.618966,60,3349.622738
13.686873,60,3352.525712
66.350912,60,3353.78402
6.331428,60,3356.627841
73.888524,60,3359.181009
68.968896,60,3362.122023
59.982129,60,3364.350609
43.064842,60,3367.210459
55.003677,60,3369.240785
15.986007,60,3371.877035
75.5814,60,3373.030822
42.447178,60,3375.183613
40.996786,60,3377.762732
21.538377,60,3379.794818
35.520673,60,3382.445168
13.932777,60,3384.479098
38.332542,60,3387.062478
53.308209,60,3389.105475
32.470518,60,3390.835307
-24.576143,60,3392.88588
22.426327,60,3395.482314
29.850863,60,3397.530862
69.81092,60,3400.097488
26.090131,60,3402.172237
36.572043,60,3404.746877
7.667519,60,3406.781816
73.268791,60,3407.924568
-2.054209,60,3410.500202
41.688293,60,3412.579069
36.621641,60,3415.153864
20.129863,60,3417.193909
69.090431,60,3419.771479
60.178369,60,3421.807477
64.260922,60,3424.441345
7.914187,60,3425.592221
62.0385,60,3428.181964
57.307891,60,3430.208035
42.688841,60,3432.810273
65.553531,60,3434.862778
54.672249,60,3437.432018
73.703171,60,3439.482923
48.762333,60,3442.059091
67.113248,60,3443.212775
38.847796,60,3445.282646
79.032085,60,3447.858351
80.869119,60,3449.887417
40.49341,60,3452.47543
25.276272,60,3454.550754
78.127099,60,3457.150631
30.348532,60,3459.176713
25.68136,60,3460.862178
74.597379,60,3462.898458
68.15544,60,3465.514717
47.419759,60,3467.559432
27.826473,60,3470.131566
72.613563,60,3472.17085
8.513801,60,3474.748541
26.983831,60,3476.813147
53.892493,60,3477.961278
22.389641,60,3480.539928
63.496609,60,3482.577118
51.503269,60,3485.157676
39.674998,60,3487.234477
65.973405,60,3489.808295
50.31932,60,3491.879404
70.043705,60,3494.487127
72.378966,60,3495.81825
59.409766,60,3498.653214
31.201102,60,3500.771363
68.689774,60,3503.575591
22.824814,60,3505.752111
63.972492,60,3508.639779
4.691178,60,3510.828213
23.612894,60,3513.570222
23.792095,60,3514.815969
78.358114,60,3516.995068
44.620651,60,3519.802001
2.824749,60,3521.953721
30.02552,60,3524.699301
41.288444,60,3526.819978
40.409976,60,3529.443756
-7.261801,60,3531.476504
47.16702,60,3533.166014
82.520556,60,3535.200247
3.717434,60,3537.780843
22.942109,60,3539.84244
54.243657,60,3542.429736
18.195986,60,3544.579398
41.546145,60,3547.160365
2.45303,60,3549.230878
24.426729,60,3550.38088
73.839005,60,3552.947405
52.837337,60,3554.970382
24.217164,60,3557.551663
12.605497,60,3559.60276
-11.307874,60,3562.217508
23.978462,60,3564.258103
53.89885,60,3566.826737
21.272037,60,3567.973451
60.687293,60,3570.582577
64.427574,60,3572.762155
58.043376,60,3575.346511
45.074573,60,3577.392469
44.126194,60,3579.967232
11.512662,60,3582.045159
13.257129,60,3584.683281
-17.978911,60,3585.834303
33.975226,60,3587.875916
34.711291,60,3590.458135
67.552369,60,3592.546349
47.272476,60,3595.116389
39.81976,60,3597.142253
50.266262,60,3599.719876
71.025644,60,3601.786897
62.282175,60,3603.482466
21.938088,60,3605.504834
25.386778,60,3608.087794
40.449366,60,3610.115807
21.944426,60,3612.802583
45.899023,60,3614.835431
68.47908,60,3617.412229
28.620552,60,3619.439263
61.428158,60,3620.588008
13.178124,60,3623.235679
26.464635,60,3625.261293
68.154489,60,3627.835108
41.792687,60,3629.859887
46.210242,60,3632.433667
40.877795,60,3634.495406
13.452183,60,3637.100138
53.034619,60,3638.248576
63.973721,60,3640.820845
67.51942,60,3642.857206
61.790907,60,3645.475849
73.29818,60,3647.507821
36.455886,60,3650.083849
29.765782,60,3652.126092
71.886682,60,3654.749176
47.122888,60,3655.897657
47.533497,60,3657.937413
50.81804,60,3660.652104
52.289483,60,3662.684911
46.120628,60,3665.303602
50.250178,60,3667.351821
